year,naics,l_w
2017,485,1.196339701396693
2017,486,1.1928012519561815
2017,487,1.2076582384930201
2017,493,1.2139864864864864
2017,51,1.1612623663368977
2017,511,1.1316135392704567
2017,512,1.1897964667159266
2017,513,1.200407572263635
2017,514,1.1438279149352237
2017,52,1.17800285106122
2017,521,1.174374779773507
2017,523,1.1784311793601419
2017,524,1.1812847907866804
2017,525,1.1613085166384658
2017,53,1.1528161151257637
2017,531,1.1516554663169971
2017,532,1.1563974996810817
2017,54,1.1520522464021852
2017,5411,1.1786391951883144
2017,5415,1.1343364151250568
2017,55,1.16578098856039
2017,56,1.1868218562227122
2017,561,1.1862748792088507
2017,562,1.1943769662697623
2017,61,1.2221804965915817
2017,62,1.2161453931550648
2017,621,1.2061307136951842
2017,624,1.2128152779549999
2017,71,1.1748348217527045
2017,711,1.1626639047935434
2017,713,1.1886287773282933
2017,72,1.149033709500391
2017,721,1.1479276010580106
2017,722,1.149343767832396
2017,81,1.1552216100027246
2018,11,1.2338511124043152
2018,113,1.276190021028484
2018,21,1.1972944259508465
2018,211,1.2203244040304744
2018,212,1.244884575026233
2018,213,1.155659004946174
2018,22,1.3564015511110397
2018,23,1.186593798083369
2018,31-33,1.2463862430509027
2018,33,1.2414337454811821
2018,321,1.2258468604833237
2018,327,1.2200286009374752
2018,331,1.2358172900958935
2018,332,1.220047483930743
2018,333,1.2358853088974284
2018,334,1.1927024031247409
2018,335,1.3697212607032245
2018,3361,1.2483352611998624
2018,337,1.2178223156079953
2018,339,1.3794731306410977
2018,313,1.2104401425406914
2018,315,1.2396615040715313
2018,322,1.219533446869183
2018,323,1.199900569465787
2018,324,1.4935772964899179
2018,325,1.290905051652
2018,326,1.2176534545813977
2018,42,1.172021429077961
2018,44-45,1.1911825767443447
2018,481,1.2913020878454475
2018,482,1.3120049785019234
2018,483,1.2662904053360697
2018,484,1.2558184804428494
2018,485,1.1947407591168444
2018,486,1.2049129353233832
2018,487,1.2065004602439942
2018,493,1.2103037676765662
2018,51,1.1585163422243163
2018,511,1.1271977105808082
2018,512,1.1942855295904844
2018,513,1.2079370179948585
2018,514,1.1349619431385718
2018,52,1.1809261600087733
2018,521,1.1775865483129428
2018,523,1.1825978021573125
2018,524,1.1826841440434035
2018,525,1.176498127340824
2018,53,1.1544065839077788
2018,531,1.1530652388765747
2018,532,1.1586499656213567
2018,54,1.1526951615203012
2018,5411,1.184594461993992
2018,5415,1.1322273135918446
2018,55,1.1675750432614354
2018,56,1.1891734575087312
2018,561,1.188887327320376
2018,562,1.1930044644504298
2018,61,1.2288751857902689
2018,62,1.2195745862131995
2018,621,1.211651448028719
2018,624,1.2124687633782345
2018,71,1.1748562262822269
2018,711,1.1597640699755305
2018,713,1.1922623309885851
2018,72,1.146061355466363
2018,721,1.1461359981016164
2018,722,1.1460405933151208
2018,81,1.1577945470675493
2019,11,1.2540445333565278
2019,113,1.2513577118030412
